Advocate_ID,Full_Name,Bar_Council_Enrollment_Number,City,State,Primary_Court_Level,Court_Name,Specialization,Years_of_Experience,Total_Cases_Handled,Cases_Won,Cases_Lost,Recent_Indian_Case_Type,Average_Case_Duration_Months,Client_Rating_Out_of_5
INDADV01295,Siya Mani,IN2109/2071,Gangtok,Haryana,District Court,District Court Madurai,Family Law,2,1454,585,869,Cheque Bounce Case (NI Act 138),44,3.3
INDADV01296,Anya Lanka,IN7720/2023,Uluberia,Tamil Nadu,District Court,District Court Ozhukarai,Constitutional Law,13,255,232,23,Cyber Fraud Case,41,3.1
INDADV01297,Kashvi Lala,IN9748/2047,Latur,Kerala,High Court,Kerala High Court,Intellectual Property Law,39,472,459,13,Writ Petition (Article 226),41,4.3
INDADV01298,Samiha Sant,IN8509/2031,Ramgarh,Bihar,District Court,District Court Bettiah,Civil Law,33,1019,915,104,Divorce Petition,48,3.6
INDADV01299,Amani Datta,IN9699/2087,Bhimavaram,Punjab,District Court,District Court Bongaigaon,Environmental Law,2,861,153,708,IPC Section 420 - Cheating,21,5.0
INDADV01300,Onkar Varkey,IN2424/2065,Ajmer,Telangana,District Court,District Court Sirsa,Criminal Law,39,963,199,764,Property Partition Suit,19,3.1
INDADV01301,Miraan Goel,IN0474/2098,Gulbarga,West Bengal,District Court,District Court Danapur,Cyber Law,13,941,398,543,Cyber Fraud Case,24,4.2
INDADV01302,Alia Sani,IN1570/2018,Guwahati,Haryana,District Court,District Court Tiruppur,Tax Law,10,220,104,116,Land Acquisition Dispute,22,4.7
INDADV01303,Purab Kuruvilla,IN5178/2092,Dhanbad,Gujarat,District Court,District Court Madurai,Tax Law,26,1060,728,332,Consumer Protection Case,11,3.3
INDADV01304,Ivan Tella,IN0461/2097,Jammu,Maharashtra,District Court,District Court Bokaro,Tax Law,17,830,636,194,Divorce Petition,48,3.1
INDADV01305,Darshit Chada,IN3141/2047,Jalgaon,Kerala,High Court,Kerala High Court,Family Law,8,235,186,49,GST Tax Dispute,38,4.3
INDADV01306,Myra Kalla,IN4403/2059,Ambarnath,Tamil Nadu,District Court,District Court Chapra,Constitutional Law,23,687,82,605,Consumer Protection Case,44,3.4
INDADV01307,Tanya Sarma,IN3794/2083,Gwalior,Punjab,District Court,District Court Tirunelveli,Civil Law,10,407,171,236,Land Acquisition Dispute,21,3.9
INDADV01308,Rati Sanghvi,IN2718/2054,Patna,Tamil Nadu,District Court,District Court Tiruchirappalli,Tax Law,36,428,60,368,Divorce Petition,8,4.3
INDADV01309,Alia Zachariah,IN2220/2040,Ghaziabad,Punjab,District Court,District Court Machilipatnam,Environmental Law,20,786,274,512,IPC Section 420 - Cheating,33,3.1
INDADV01310,Azad Banerjee,IN0640/2050,Malda,Punjab,District Court,District Court Buxar,Civil Law,37,1006,779,227,Divorce Petition,44,4.5
INDADV01311,Samarth Ghose,IN2633/2072,Phusro,Bihar,District Court,District Court Hosur,Intellectual Property Law,16,1494,271,1223,IPC Section 302 - Murder,24,3.6
INDADV01312,Adah Borah,IN8984/2047,Tadipatri,Karnataka,District Court,District Court Mangalore,Family Law,38,60,39,21,Consumer Protection Case,41,4.3
INDADV01313,Aaina Chaudhari,IN1451/2037,Kochi,Rajasthan,District Court,District Court Kulti,Constitutional Law,24,1367,258,1109,IPC Section 420 - Cheating,24,3.9
INDADV01314,Tiya Konda,IN3936/2059,Motihari,Delhi,District Court,District Court Amravati,Labour Law,36,1084,306,778,IPC Section 302 - Murder,20,4.4
INDADV01315,Vritika Chaudhuri,IN2785/2020,Fatehpur,Punjab,District Court,District Court Chinsurah,Constitutional Law,19,976,753,223,Writ Petition (Article 226),39,4.6
INDADV01316,Gokul Sood,IN3725/2023,Moradabad,Madhya Pradesh,District Court,District Court Bidar,Cyber Law,31,766,4,762,Cheque Bounce Case (NI Act 138),48,4.8
INDADV01317,Tarini Sanghvi,IN6307/2064,Khandwa,Haryana,Supreme Court of India,Supreme Court of India,Corporate Law,20,1086,895,191,IPC Section 302 - Murder,45,4.6
INDADV01318,Akarsh Saraf,IN3588/2093,Vijayawada,Bihar,District Court,District Court Bikaner,Labour Law,9,121,117,4,Public Interest Litigation,13,3.6
INDADV01319,Anay Sharma,IN3372/2081,Pune,Madhya Pradesh,High Court,Madhya Pradesh High Court,Family Law,4,200,25,175,Public Interest Litigation,36,3.4
INDADV01320,Divyansh Dasgupta,IN3613/2015,Shimla,Gujarat,High Court,Gujarat High Court,Civil Law,22,445,78,367,GST Tax Dispute,24,3.1
INDADV01321,Sumer Gokhale,IN4558/2097,Bikaner,Gujarat,High Court,Gujarat High Court,Corporate Law,27,1329,914,415,Property Partition Suit,11,4.5
INDADV01322,Darshit Chacko,IN9150/2072,Gudivada,Haryana,District Court,District Court Shahjahanpur,Intellectual Property Law,37,846,659,187,Cheque Bounce Case (NI Act 138),7,3.5
INDADV01323,Anya Buch,IN3740/2042,Loni,Delhi,District Court,District Court Bhubaneswar,Family Law,8,115,14,101,Cheque Bounce Case (NI Act 138),9,4.9
INDADV01324,Tushar Mani,IN8260/2047,Jehanabad,Rajasthan,District Court,District Court Muzaffarpur,Family Law,5,1217,361,856,Cheque Bounce Case (NI Act 138),43,4.7
INDADV01325,Rasha Yohannan,IN1478/2074,Sambhal,Bihar,High Court,Patna High Court,Environmental Law,18,245,15,230,Land Acquisition Dispute,13,4.1
INDADV01326,Reyansh Comar,IN0662/2081,Ghaziabad,Rajasthan,District Court,District Court Ujjain,Criminal Law,7,1161,784,377,Land Acquisition Dispute,6,4.5
INDADV01327,Sumer Swaminathan,IN5333/2006,Saharanpur,Delhi,District Court,District Court Gopalpur,Environmental Law,30,580,296,284,Writ Petition (Article 226),8,3.8
INDADV01328,Romil Bhandari,IN0237/2052,Gwalior,Uttar Pradesh,District Court,District Court Malda,Corporate Law,5,1264,1069,195,Divorce Petition,22,4.4
INDADV01329,Jivin Rege,IN3335/2026,Bhilwara,Telangana,Supreme Court of India,Supreme Court of India,Labour Law,21,1462,1404,58,IPC Section 302 - Murder,48,3.1
INDADV01330,Dhanush Rout,IN9184/2073,Muzaffarnagar,Gujarat,District Court,District Court Karawal Nagar,Environmental Law,19,385,218,167,Writ Petition (Article 226),9,3.3
INDADV01331,Faiyaz Chawla,IN4659/2062,Muzaffarpur,Uttar Pradesh,High Court,Allahabad High Court,Family Law,27,533,390,143,Dowry Prohibition Case,45,4.5
INDADV01332,Samaira Bath,IN6956/2055,Ramgarh,Karnataka,District Court,District Court Satna,Cyber Law,22,1087,316,771,Land Acquisition Dispute,35,3.9
INDADV01333,Samaira Singh,IN5573/2034,Gudivada,Maharashtra,High Court,Bombay High Court,Family Law,16,250,209,41,Cheque Bounce Case (NI Act 138),33,3.2
INDADV01334,Ishaan Rout,IN8511/2017,Purnia,Bihar,High Court,Patna High Court,Tax Law,27,700,252,448,Dowry Prohibition Case,10,3.5
INDADV01335,Nirvi Raja,IN6478/2013,Bardhaman,Uttar Pradesh,High Court,Allahabad High Court,Corporate Law,4,512,381,131,IPC Section 302 - Murder,18,4.2
INDADV01336,Suhana Butala,IN8671/2015,Bharatpur,Madhya Pradesh,District Court,District Court Uluberia,Constitutional Law,29,50,31,19,Land Acquisition Dispute,37,3.2
INDADV01337,Ira Bahri,IN1352/2049,Aurangabad,Tamil Nadu,District Court,District Court Sirsa,Intellectual Property Law,16,1430,1041,389,Consumer Protection Case,29,3.6
INDADV01338,Devansh Bhalla,IN1912/2055,Vijayanagaram,Haryana,District Court,District Court Khora ,Constitutional Law,5,1084,1060,24,IPC Section 420 - Cheating,40,4.8
INDADV01339,Zoya Tandon,IN6545/2001,Saharsa,Maharashtra,District Court,District Court Kolkata,Civil Law,13,904,539,365,Divorce Petition,13,3.5
INDADV01340,Oorja Sathe,IN0668/2006,Aizawl,Haryana,District Court,District Court Sikar,Tax Law,35,289,167,122,IPC Section 302 - Murder,43,4.6
INDADV01341,Zaina Subramaniam,IN6101/2043,Guwahati,Rajasthan,High Court,Rajasthan High Court,Corporate Law,35,132,65,67,Cheque Bounce Case (NI Act 138),45,3.8
INDADV01342,Lakshay Deo,IN1444/2022,Dehradun,Kerala,District Court,District Court Kanpur,Family Law,33,1271,1021,250,Land Acquisition Dispute,40,4.1
INDADV01343,Shayak Bassi,IN9737/2002,Pudukkottai,Karnataka,District Court,District Court Sultan Pur Majra,Criminal Law,34,633,285,348,Dowry Prohibition Case,43,4.2
INDADV01344,Neysa Sura,IN0958/2029,Mirzapur,West Bengal,High Court,Calcutta High Court,Labour Law,1,232,104,128,Property Partition Suit,46,4.3
INDADV01345,Darshit Gole,IN3952/2021,Tirunelveli,Karnataka,District Court,District Court Kota,Environmental Law,32,1071,90,981,Property Partition Suit,13,4.4
INDADV01346,Yakshit Sane,IN4209/2004,Surat,Haryana,District Court,District Court Chittoor,Cyber Law,9,1085,522,563,Public Interest Litigation,37,3.4
INDADV01347,Hiran Shetty,IN9705/2026,Machilipatnam,Punjab,High Court,Punjab and Haryana High Court,Civil Law,35,519,346,173,Divorce Petition,35,3.0
INDADV01348,Misha Srivastava,IN8954/2033,Karnal,Madhya Pradesh,High Court,Madhya Pradesh High Court,Intellectual Property Law,7,987,111,876,Cyber Fraud Case,26,4.5
INDADV01349,Hazel Sama,IN7220/2064,Kakinada,Gujarat,High Court,Gujarat High Court,Intellectual Property Law,11,618,561,57,Cheque Bounce Case (NI Act 138),40,4.7
INDADV01350,Damini Bera,IN0146/2008,Dewas,Haryana,Supreme Court of India,Supreme Court of India,Constitutional Law,32,273,85,188,IPC Section 420 - Cheating,34,3.2
INDADV01351,Inaaya  Jhaveri,IN3863/2086,Warangal,Gujarat,District Court,District Court Alwar,Civil Law,26,711,38,673,GST Tax Dispute,28,5.0
INDADV01352,Neysa Bath,IN0180/2058,Salem,Delhi,High Court,Delhi High Court,Corporate Law,10,1201,908,293,Cheque Bounce Case (NI Act 138),37,4.2
INDADV01353,Hiran Warrior,IN5999/2099,Farrukhabad,Delhi,District Court,District Court Jamnagar,Tax Law,28,746,125,621,Writ Petition (Article 226),14,4.2
INDADV01354,Dharmajan Gopal,IN7190/2065,Kozhikode,Rajasthan,High Court,Rajasthan High Court,Labour Law,26,896,675,221,Property Partition Suit,9,4.7
INDADV01355,Tushar Bhandari,IN3453/2029,Bhalswa Jahangir Pur,Tamil Nadu,High Court,Madras High Court,Civil Law,6,698,35,663,Writ Petition (Article 226),33,3.8
INDADV01356,Lakshit Bhat,IN0158/2099,Siwan,Telangana,District Court,District Court Malda,Constitutional Law,23,975,206,769,Cheque Bounce Case (NI Act 138),6,3.8
INDADV01357,Mohanlal Upadhyay,IN5527/2072,Gaya,Punjab,High Court,Punjab and Haryana High Court,Civil Law,26,623,194,429,Writ Petition (Article 226),18,4.2
INDADV01358,Nitara Bakshi,IN4867/2020,Berhampore,Delhi,High Court,Delhi High Court,Family Law,1,1284,974,310,IPC Section 420 - Cheating,36,3.1
INDADV01359,Shanaya Bhavsar,IN8923/2040,Jalna,Punjab,District Court,District Court Alwar,Environmental Law,32,559,87,472,Consumer Protection Case,18,3.0
INDADV01360,Dharmajan Magar,IN8191/2076,Bhimavaram,Delhi,District Court,District Court Sultan Pur Majra,Labour Law,12,637,599,38,GST Tax Dispute,32,3.7
INDADV01361,Kavya Shankar,IN3739/2086,Ramagundam,Gujarat,High Court,Gujarat High Court,Intellectual Property Law,15,1381,803,578,Cyber Fraud Case,25,4.2
INDADV01362,Baiju Sood,IN3754/2071,Karimnagar,Tamil Nadu,District Court,District Court Miryalaguda,Corporate Law,3,1413,1174,239,Consumer Protection Case,41,4.7
INDADV01363,Uthkarsh Sodhi,IN3930/2028,Rewa,Tamil Nadu,District Court,District Court Ahmedabad,Tax Law,6,34,14,20,Cyber Fraud Case,12,4.3
INDADV01364,Ehsaan Kala,IN6723/2059,Srikakulam,Punjab,District Court,District Court Shimla,Civil Law,38,448,170,278,Property Partition Suit,41,4.3
INDADV01365,Sana Krish,IN6879/2081,Dehradun,Punjab,High Court,Punjab and Haryana High Court,Criminal Law,24,227,101,126,GST Tax Dispute,30,3.1
INDADV01366,Madhup Gaba,IN4794/2083,Saharsa,Karnataka,District Court,District Court Bhind,Criminal Law,16,331,156,175,Dowry Prohibition Case,34,3.0
INDADV01367,Bhavin Verma,IN9247/2011,Kolhapur,Maharashtra,District Court,District Court Chennai,Corporate Law,23,173,106,67,Consumer Protection Case,48,3.8
INDADV01368,Taimur Das,IN2731/2069,Vellore,Rajasthan,High Court,Rajasthan High Court,Cyber Law,7,1083,173,910,Property Partition Suit,34,3.5
INDADV01369,Jiya Balay,IN0208/2058,Rewa,Haryana,Supreme Court of India,Supreme Court of India,Civil Law,2,134,93,41,GST Tax Dispute,18,5.0
INDADV01370,Anya Shah,IN8928/2074,Bidhannagar,Tamil Nadu,High Court,Madras High Court,Constitutional Law,33,1360,1139,221,GST Tax Dispute,33,3.5
INDADV01371,Mannat Chowdhury,IN6827/2006,Jabalpur,Tamil Nadu,District Court,District Court Kharagpur,Labour Law,5,1239,616,623,Land Acquisition Dispute,7,4.8
INDADV01372,Anvi Vig,IN0168/2056,Ghaziabad,West Bengal,District Court,District Court Kota,Labour Law,2,670,308,362,Dowry Prohibition Case,6,4.1
INDADV01373,Nakul Banik,IN9103/2051,Fatehpur,Uttar Pradesh,District Court,District Court Ichalkaranji,Intellectual Property Law,23,1304,1200,104,Writ Petition (Article 226),22,4.9
INDADV01374,Taimur Bhagat,IN0746/2010,Agartala,Delhi,High Court,Delhi High Court,Tax Law,1,469,87,382,IPC Section 302 - Murder,26,3.9
INDADV01375,Arnav Savant,IN0419/2017,Bhiwani,Delhi,High Court,Delhi High Court,Family Law,30,592,142,450,Dowry Prohibition Case,26,3.3
INDADV01376,Jayan Lall,IN6349/2083,Jamalpur,Madhya Pradesh,High Court,Madhya Pradesh High Court,Constitutional Law,25,1367,193,1174,Public Interest Litigation,37,4.6
INDADV01377,Aarush Viswanathan,IN0664/2042,Saharsa,Bihar,District Court,District Court Karawal Nagar,Tax Law,22,1424,1150,274,Land Acquisition Dispute,21,3.9
INDADV01378,Nehmat Wadhwa,IN7509/2063,Kumbakonam,Karnataka,District Court,District Court Madanapalle,Constitutional Law,1,368,113,255,IPC Section 420 - Cheating,17,4.7
INDADV01379,Armaan Mani,IN7765/2029,Gudivada,Tamil Nadu,District Court,District Court Chandrapur,Family Law,10,127,16,111,IPC Section 302 - Murder,37,3.7
INDADV01380,Ivan Ganesan,IN1604/2083,Nagaon,Rajasthan,High Court,Rajasthan High Court,Civil Law,39,1500,763,737,Cheque Bounce Case (NI Act 138),9,4.8
INDADV01381,Lagan Thaker,IN0403/2022,Visakhapatnam,Delhi,High Court,Delhi High Court,Civil Law,4,384,99,285,Cheque Bounce Case (NI Act 138),9,5.0
INDADV01382,Farhan Swaminathan,IN6041/2017,Morena,Rajasthan,District Court,District Court Khammam,Corporate Law,37,393,183,210,Land Acquisition Dispute,30,4.2
INDADV01383,Aarav Keer,IN0719/2015,Hapur,Gujarat,District Court,District Court Cuttack,Tax Law,35,1336,33,1303,Land Acquisition Dispute,21,3.5
INDADV01384,Yasmin Ratti,IN5132/2013,Jehanabad,Kerala,District Court,District Court Gurgaon,Criminal Law,2,1159,829,330,IPC Section 302 - Murder,45,4.8
INDADV01385,Hansh Sandal,IN1383/2069,Latur,Haryana,District Court,District Court Panvel,Tax Law,30,344,276,68,IPC Section 420 - Cheating,36,4.0
INDADV01386,Abram Dhar,IN8966/2013,Nangloi Jat,Uttar Pradesh,High Court,Allahabad High Court,Family Law,40,458,221,237,Writ Petition (Article 226),37,4.6
INDADV01387,Vaibhav Kothari,IN1854/2029,Tirunelveli,Rajasthan,District Court,District Court Moradabad,Environmental Law,27,767,593,174,IPC Section 302 - Murder,28,4.8
INDADV01388,Kiaan Bath,IN2558/2034,Raipur,Gujarat,Supreme Court of India,Supreme Court of India,Intellectual Property Law,35,293,57,236,GST Tax Dispute,8,4.5
INDADV01389,Gatik Kaul,IN9461/2067,Jammu,Madhya Pradesh,High Court,Madhya Pradesh High Court,Civil Law,2,724,555,169,IPC Section 302 - Murder,28,4.8
INDADV01390,Rania Verma,IN1624/2074,Bharatpur,Bihar,High Court,Patna High Court,Constitutional Law,24,707,391,316,Divorce Petition,6,3.4
INDADV01391,Zara Deol,IN2699/2082,Satara,Tamil Nadu,District Court,District Court Naihati,Family Law,28,1169,57,1112,IPC Section 420 - Cheating,9,4.1
INDADV01392,Rhea Dhillon,IN6827/2052,Lucknow,Delhi,District Court,District Court Nellore,Intellectual Property Law,12,227,203,24,Cyber Fraud Case,20,4.8
INDADV01393,Aniruddh Sule,IN2974/2016,Bulandshahr,Rajasthan,High Court,Rajasthan High Court,Civil Law,18,964,326,638,Divorce Petition,9,4.3
INDADV01394,Raghav Deshpande,IN7799/2078,Ratlam,Tamil Nadu,Supreme Court of India,Supreme Court of India,Labour Law,40,808,269,539,Divorce Petition,11,3.5
INDADV01395,Indrajit Arora,IN0417/2068,Pali,Bihar,Supreme Court of India,Supreme Court of India,Corporate Law,35,305,130,175,Cyber Fraud Case,16,3.1
INDADV01396,Piya Amble,IN3436/2027,Ghaziabad,Haryana,District Court,District Court Udaipur,Intellectual Property Law,2,553,192,361,Dowry Prohibition Case,9,4.3
INDADV01397,Bhavin Dara,IN8423/2095,Bhilai,Tamil Nadu,Supreme Court of India,Supreme Court of India,Corporate Law,7,1322,1274,48,Public Interest Litigation,41,4.6
INDADV01398,Eva Devi,IN6062/2044,South Dumdum,Tamil Nadu,District Court,District Court Buxar,Constitutional Law,38,154,9,145,Consumer Protection Case,14,4.3
INDADV01399,Ishita Mannan,IN7861/2037,Munger,Tamil Nadu,District Court,District Court Tinsukia,Constitutional Law,19,897,468,429,Cyber Fraud Case,20,4.4
INDADV01400,Romil Bhagat,IN1035/2028,Aligarh,Madhya Pradesh,District Court,District Court Farrukhabad,Intellectual Property Law,34,86,29,57,Divorce Petition,13,4.3
INDADV01401,Lakshay Sama,IN1181/2059,Tirupati,Madhya Pradesh,High Court,Madhya Pradesh High Court,Family Law,13,1188,651,537,Public Interest Litigation,36,4.3
INDADV01402,Veer Gandhi,IN3383/2080,Bellary,Gujarat,High Court,Gujarat High Court,Environmental Law,28,229,228,1,Public Interest Litigation,12,3.6
INDADV01403,Kismat Aurora,IN4571/2041,Chandrapur,Rajasthan,High Court,Rajasthan High Court,Civil Law,35,340,246,94,Writ Petition (Article 226),22,4.5
INDADV01404,Dhanush Kunda,IN5175/2075,Gurgaon,Madhya Pradesh,District Court,District Court Anantapuram,Criminal Law,39,523,110,413,Writ Petition (Article 226),6,4.0
INDADV01405,Gatik Kurian,IN4383/2084,Ulhasnagar,Rajasthan,High Court,Rajasthan High Court,Intellectual Property Law,10,1042,795,247,Land Acquisition Dispute,11,3.1
INDADV01406,Sara Goyal,IN0351/2038,Yamunanagar,Delhi,District Court,District Court Anantapur,Corporate Law,18,328,139,189,Writ Petition (Article 226),16,4.6
INDADV01407,Kashvi Tiwari,IN4755/2031,Durgapur,Uttar Pradesh,District Court,District Court Chapra,Corporate Law,28,1346,957,389,Public Interest Litigation,31,4.5
INDADV01408,Saira Saha,IN4783/2053,Durg,Karnataka,District Court,District Court Gurgaon,Cyber Law,4,1094,140,954,IPC Section 420 - Cheating,9,4.2
INDADV01409,Gatik Gour,IN6626/2068,Malegaon,Telangana,High Court,Telangana High Court,Environmental Law,39,183,89,94,Public Interest Litigation,19,3.9
INDADV01410,Himmat Krishnan,IN4976/2071,Amaravati,Haryana,District Court,District Court Mira-Bhayandar,Cyber Law,35,1330,1083,247,Cheque Bounce Case (NI Act 138),6,4.1
INDADV01411,Alia Anand,IN6781/2009,Amroha,Tamil Nadu,District Court,District Court Gulbarga,Environmental Law,14,204,112,92,Consumer Protection Case,17,4.4
INDADV01412,Jivin Solanki,IN5291/2039,Mau,Tamil Nadu,High Court,Madras High Court,Civil Law,12,918,371,547,Public Interest Litigation,47,4.6
INDADV01413,Anaya Lad,IN4537/2057,Panipat,Uttar Pradesh,High Court,Allahabad High Court,Constitutional Law,23,156,50,106,GST Tax Dispute,30,3.6
INDADV01414,Akarsh Dutta,IN4054/2059,Saharsa,Rajasthan,High Court,Rajasthan High Court,Labour Law,13,22,9,13,Divorce Petition,31,3.7
INDADV01415,Anahi Sengupta,IN2698/2099,Medininagar,Punjab,District Court,District Court Kharagpur,Civil Law,40,586,81,505,Public Interest Litigation,32,4.1
INDADV01416,Jivin Rattan,IN1054/2057,Madhyamgram,Kerala,District Court,District Court Warangal,Cyber Law,39,1055,851,204,Property Partition Suit,43,4.5
INDADV01417,Samiha Hayre,IN2941/2014,Anand,Delhi,High Court,Delhi High Court,Intellectual Property Law,9,1311,120,1191,IPC Section 302 - Murder,15,3.8
INDADV01418,Indrajit Mangat,IN4816/2050,Parbhani,Uttar Pradesh,District Court,District Court Khandwa,Constitutional Law,22,1239,1165,74,Cheque Bounce Case (NI Act 138),26,3.2
INDADV01419,Mishti Lanka,IN7099/2089,Sambalpur,Tamil Nadu,District Court,District Court Sikar,Cyber Law,40,129,65,64,Public Interest Litigation,25,4.6
INDADV01420,Gatik Joshi,IN8609/2016,Ichalkaranji,Karnataka,District Court,District Court Saharanpur,Criminal Law,6,1387,1326,61,Writ Petition (Article 226),9,3.2
INDADV01421,Mishti Sura,IN3401/2068,Tadipatri,Madhya Pradesh,High Court,Madhya Pradesh High Court,Labour Law,26,1076,78,998,GST Tax Dispute,47,4.8
INDADV01422,Eshani Sarraf,IN9993/2074,Mathura,Telangana,District Court,District Court Warangal,Cyber Law,16,1181,479,702,IPC Section 302 - Murder,45,4.0
INDADV01423,Neysa Sura,IN5842/2013,Karimnagar,Haryana,High Court,Punjab and Haryana High Court,Civil Law,12,1372,967,405,Cheque Bounce Case (NI Act 138),47,4.3
INDADV01424,Vaibhav Rajan,IN9284/2066,Kota,Tamil Nadu,High Court,Madras High Court,Intellectual Property Law,14,350,162,188,IPC Section 302 - Murder,45,4.6
INDADV01425,Abram Badami,IN7631/2042,Nashik,Rajasthan,High Court,Rajasthan High Court,Criminal Law,22,438,403,35,Land Acquisition Dispute,39,4.3
INDADV01426,Mahika Varghese,IN8288/2038,Moradabad,Tamil Nadu,District Court,District Court Jamshedpur,Civil Law,34,34,7,27,IPC Section 420 - Cheating,9,3.7
INDADV01427,Tiya Chopra,IN2862/2066,Tirunelveli,Punjab,High Court,Punjab and Haryana High Court,Civil Law,30,966,216,750,Property Partition Suit,39,4.0
INDADV01428,Vidur Som,IN6417/2007,Berhampore,Madhya Pradesh,District Court,District Court Noida,Corporate Law,24,208,68,140,Consumer Protection Case,24,3.7
INDADV01429,Nehmat Ganguly,IN2307/2014,Khammam,Rajasthan,District Court,District Court Sagar,Cyber Law,10,988,491,497,IPC Section 420 - Cheating,47,3.7
INDADV01430,Mahika Anne,IN1754/2018,Satara,Rajasthan,District Court,District Court Bhopal,Criminal Law,15,1146,831,315,Public Interest Litigation,43,3.0
INDADV01431,Saksham Mahajan,IN8973/2024,Sangli-Miraj & Kupwad,Karnataka,High Court,Karnataka High Court,Civil Law,31,385,117,268,Consumer Protection Case,38,3.8
INDADV01432,Jivika Batra,IN7371/2092,Nellore,Kerala,District Court,District Court Naihati,Labour Law,10,588,49,539,Public Interest Litigation,13,4.2
INDADV01433,Raghav Venkatesh,IN7669/2024,Phagwara,Delhi,District Court,District Court Giridih,Constitutional Law,37,36,24,12,Consumer Protection Case,36,4.5
INDADV01434,Arhaan Lata,IN2138/2071,Madanapalle,Tamil Nadu,District Court,District Court Lucknow,Family Law,18,1371,349,1022,IPC Section 302 - Murder,20,4.4
INDADV01435,Shayak Arora,IN0747/2099,Sirsa,Karnataka,High Court,Karnataka High Court,Intellectual Property Law,7,1134,624,510,IPC Section 302 - Murder,23,4.5
INDADV01436,Aradhya Walia,IN9506/2051,Tiruvottiyur,Rajasthan,District Court,District Court Jabalpur,Labour Law,11,68,4,64,Cyber Fraud Case,38,4.6
INDADV01437,Nayantara Sane,IN4961/2090,Kollam,West Bengal,High Court,Calcutta High Court,Corporate Law,35,218,20,198,IPC Section 420 - Cheating,10,3.7
INDADV01438,Ivana Wagle,IN1463/2020,Bidhannagar,Gujarat,High Court,Gujarat High Court,Labour Law,39,1270,863,407,Dowry Prohibition Case,14,4.4
INDADV01439,Adah Acharya,IN4738/2006,Rewa,Delhi,District Court,District Court Naihati,Cyber Law,8,50,34,16,Divorce Petition,18,4.4
INDADV01440,Uthkarsh Bhatt,IN4132/2098,Mehsana,Gujarat,District Court,District Court Orai,Tax Law,6,687,151,536,Public Interest Litigation,12,3.7
INDADV01441,Shlok Sachar,IN1540/2099,Jabalpur,Telangana,High Court,Telangana High Court,Tax Law,3,898,820,78,GST Tax Dispute,15,4.8
INDADV01442,Krish Bora,IN7598/2022,Unnao,Madhya Pradesh,High Court,Madhya Pradesh High Court,Labour Law,6,100,18,82,Consumer Protection Case,18,4.2
INDADV01443,Bhavin Acharya,IN1505/2094,Junagadh,Tamil Nadu,High Court,Madras High Court,Civil Law,31,1059,64,995,Divorce Petition,16,3.2
INDADV01444,Anay Yadav,IN0129/2001,Rewa,Tamil Nadu,District Court,District Court Chennai,Intellectual Property Law,2,781,493,288,Cheque Bounce Case (NI Act 138),39,3.4
INDADV01445,Vedika Varma,IN2509/2075,Bareilly,West Bengal,High Court,Calcutta High Court,Corporate Law,40,176,1,175,Property Partition Suit,17,3.2
INDADV01446,Lakshit Bhagat,IN4660/2075,Morena,Telangana,District Court,District Court Kalyan-Dombivli,Cyber Law,10,835,103,732,Writ Petition (Article 226),26,3.2
INDADV01447,Azad Boase,IN2912/2078,Bellary,Punjab,District Court,District Court Ambattur,Intellectual Property Law,29,54,29,25,GST Tax Dispute,28,4.5
INDADV01448,Tushar Ahluwalia,IN5737/2040,Sambalpur,West Bengal,High Court,Calcutta High Court,Labour Law,25,295,241,54,Dowry Prohibition Case,37,3.8
INDADV01449,Mamooty Cheema,IN9025/2030,Ambattur,Karnataka,Supreme Court of India,Supreme Court of India,Constitutional Law,4,1325,554,771,Public Interest Litigation,30,3.9
INDADV01450,Ahana  Dash,IN0456/2007,Gorakhpur,Uttar Pradesh,District Court,District Court Haridwar,Constitutional Law,32,1026,502,524,Land Acquisition Dispute,28,3.5
INDADV01451,Jhanvi Gola,IN8810/2066,Anantapur,Madhya Pradesh,District Court,District Court Phusro,Civil Law,4,1236,486,750,IPC Section 420 - Cheating,38,4.7
INDADV01452,Akarsh Ratti,IN9336/2049,Gopalpur,Kerala,High Court,Kerala High Court,Tax Law,10,1114,503,611,IPC Section 302 - Murder,16,3.1
INDADV01453,Zeeshan Borra,IN0082/2083,Jalandhar,Tamil Nadu,High Court,Madras High Court,Corporate Law,24,748,289,459,Cyber Fraud Case,12,4.9
INDADV01454,Drishya Konda,IN3148/2041,Tiruvottiyur,Tamil Nadu,High Court,Madras High Court,Intellectual Property Law,31,447,260,187,Public Interest Litigation,20,3.4
INDADV01455,Jivika Uppal,IN1381/2062,Surendranagar Dudhrej,Maharashtra,District Court,District Court Kalyan-Dombivli,Cyber Law,28,1354,749,605,IPC Section 420 - Cheating,10,4.3
INDADV01456,Fateh Thaker,IN0590/2032,Warangal,West Bengal,High Court,Calcutta High Court,Civil Law,5,1453,829,624,IPC Section 420 - Cheating,44,3.1
INDADV01457,Drishya Bahri,IN9079/2018,Panchkula,Telangana,High Court,Telangana High Court,Tax Law,14,220,36,184,IPC Section 420 - Cheating,48,4.9
INDADV01458,Tanya Bandi,IN4098/2028,Deoghar,Kerala,District Court,District Court Orai,Civil Law,17,1118,567,551,IPC Section 302 - Murder,20,4.8
INDADV01459,Myra Tank,IN8457/2052,Muzaffarnagar,Telangana,High Court,Telangana High Court,Civil Law,1,97,36,61,Cyber Fraud Case,46,3.6
